,tokens,Sentiment,No Stops,Unicode,Stemmed
787,"[u'The', u'staff', u'is', u'super', u'nice', u'and', u'very', u'quick', u'even', u'with', u'the', u'crazy', u'crowds', u'of', u'the', u'downtown', u'juries', u'lawyers', u'and', u'court', u'staff']",1,"[u'The', u'staff', u'super', u'nice', u'quick', u'even', u'crazy', u'crowds', u'downtown', u'juries', u'lawyers', u'court', u'staff']","[u'The', u'staff', u'super', u'nice', u'quick', u'even', u'crazy', u'crowds', u'downtown', u'juries', u'lawyers', u'court', u'staff']","[u'the', u'staff', u'super', u'nice', u'quick', u'even', u'crazi', u'crowd', u'downtown', u'juri', u'lawyer', u'court', u'staff']"
788,"[u'Great', u'atmosphere', u'friendly', u'and', u'fast', u'service']",1,"[u'Great', u'atmosphere', u'friendly', u'fast', u'service']","[u'Great', u'atmosphere', u'friendly', u'fast', u'service']","[u'great', u'atmospher', u'friendli', u'fast', u'servic']"
789,"[u'When', u'I', u'received', u'my', u'Pita', u'it', u'was', u'huge', u'it', u'did', u'have', u'a', u'lot', u'of', u'meat', u'in', u'it', u'so', u'thumbs', u'up', u'there']",1,"[u'When', u'I', u'received', u'Pita', u'huge', u'lot', u'meat', u'thumbs']","[u'When', u'I', u'received', u'Pita', u'huge', u'lot', u'meat', u'thumbs']","[u'when', u'I', u'receiv', u'pita', u'huge', u'lot', u'meat', u'thumb']"
790,"[u'Once', u'your', u'food', u'arrives', u'it', u's', u'meh']",0,"[u'Once', u'food', u'arrives', u'meh']","[u'Once', u'food', u'arrives', u'meh']","[u'onc', u'food', u'arriv', u'meh']"
791,"[u'Paying', u'7', u'85', u'for', u'a', u'hot', u'dog', u'and', u'fries', u'that', u'looks', u'like', u'it', u'came', u'out', u'of', u'a', u'kid', u's', u'meal', u'at', u'the', u'Wienerschnitzel', u'is', u'not', u'my', u'idea', u'of', u'a', u'good', u'meal']",0,"[u'Paying', u'7', u'85', u'hot', u'dog', u'fries', u'looks', u'like', u'came', u'kid', u'meal', u'Wienerschnitzel', u'idea', u'good', u'meal']","[u'Paying', u'7', u'85', u'hot', u'dog', u'fries', u'looks', u'like', u'came', u'kid', u'meal', u'Wienerschnitzel', u'idea', u'good', u'meal']","[u'pay', u'7', u'85', u'hot', u'dog', u'fri', u'look', u'like', u'came', u'kid', u'meal', u'wienerschnitzel', u'idea', u'good', u'meal']"
792,"[u'The', u'classic', u'Maine', u'Lobster', u'Roll', u'was', u'fantastic']",1,"[u'The', u'classic', u'Maine', u'Lobster', u'Roll', u'fantastic']","[u'The', u'classic', u'Maine', u'Lobster', u'Roll', u'fantastic']","[u'the', u'classic', u'main', u'lobster', u'roll', u'fantast']"
793,"[u'My', u'brother', u'in', u'law', u'who', u'works', u'at', u'the', u'mall', u'ate', u'here', u'same', u'day', u'and', u'guess', u'what', u'he', u'was', u'sick', u'all', u'night', u'too']",0,"[u'My', u'brother', u'law', u'works', u'mall', u'ate', u'day', u'guess', u'sick', u'night']","[u'My', u'brother', u'law', u'works', u'mall', u'ate', u'day', u'guess', u'sick', u'night']","[u'My', u'brother', u'law', u'work', u'mall', u'ate', u'day', u'guess', u'sick', u'night']"
794,"[u'So', u'good', u'I', u'am', u'going', u'to', u'have', u'to', u'review', u'this', u'place', u'twice', u'once', u'hereas', u'a', u'tribute', u'to', u'the', u'place', u'and', u'once', u'as', u'a', u'tribute', u'to', u'an', u'event', u'held', u'here', u'last', u'night']",1,"[u'So', u'good', u'I', u'going', u'review', u'place', u'twice', u'hereas', u'tribute', u'place', u'tribute', u'event', u'held', u'last', u'night']","[u'So', u'good', u'I', u'going', u'review', u'place', u'twice', u'hereas', u'tribute', u'place', u'tribute', u'event', u'held', u'last', u'night']","[u'So', u'good', u'I', u'go', u'review', u'place', u'twice', u'herea', u'tribut', u'place', u'tribut', u'event', u'held', u'last', u'night']"
795,"[u'The', u'chips', u'and', u'salsa', u'were', u'really', u'good', u'the', u'salsa', u'was', u'very', u'fresh']",1,"[u'The', u'chips', u'salsa', u'really', u'good', u'salsa', u'fresh']","[u'The', u'chips', u'salsa', u'really', u'good', u'salsa', u'fresh']","[u'the', u'chip', u'salsa', u'realli', u'good', u'salsa', u'fresh']"
796,"[u'This', u'place', u'is', u'great']",1,"[u'This', u'place', u'great']","[u'This', u'place', u'great']","[u'thi', u'place', u'great']"
797,"[u'Mediocre', u'food']",0,"[u'Mediocre', u'food']","[u'Mediocre', u'food']","[u'mediocr', u'food']"
798,"[u'Once', u'you', u'get', u'inside', u'you', u'll', u'be', u'impressed', u'with', u'the', u'place']",1,"[u'Once', u'get', u'inside', u'impressed', u'place']","[u'Once', u'get', u'inside', u'impressed', u'place']","[u'onc', u'get', u'insid', u'impress', u'place']"
799,"[u'I', u'm', u'super', u'pissd']",0,"[u'I', u'super', u'pissd']","[u'I', u'super', u'pissd']","[u'I', u'super', u'pissd']"
800,"[u'And', u'service', u'was', u'super', u'friendly']",1,"[u'And', u'service', u'super', u'friendly']","[u'And', u'service', u'super', u'friendly']","[u'and', u'servic', u'super', u'friendli']"
801,"[u'Why', u'are', u'these', u'sad', u'little', u'vegetables', u'so', u'overcooked']",0,"[u'Why', u'sad', u'little', u'vegetables', u'overcooked']","[u'Why', u'sad', u'little', u'vegetables', u'overcooked']","[u'whi', u'sad', u'littl', u'veget', u'overcook']"
802,"[u'This', u'place', u'was', u'such', u'a', u'nice', u'surprise']",1,"[u'This', u'place', u'nice', u'surprise']","[u'This', u'place', u'nice', u'surprise']","[u'thi', u'place', u'nice', u'surpris']"
803,"[u'They', u'were', u'golden', u'crispy', u'and', u'delicious']",1,"[u'They', u'golden', u'crispy', u'delicious']","[u'They', u'golden', u'crispy', u'delicious']","[u'they', u'golden', u'crispi', u'delici']"
804,"[u'I', u'had', u'high', u'hopes', u'for', u'this', u'place', u'since', u'the', u'burgers', u'are', u'cooked', u'over', u'a', u'charcoal', u'grill', u'but', u'unfortunately', u'the', u'taste', u'fell', u'flat', u'way', u'flat']",0,"[u'I', u'high', u'hopes', u'place', u'since', u'burgers', u'cooked', u'charcoal', u'grill', u'unfortunately', u'taste', u'fell', u'flat', u'way', u'flat']","[u'I', u'high', u'hopes', u'place', u'since', u'burgers', u'cooked', u'charcoal', u'grill', u'unfortunately', u'taste', u'fell', u'flat', u'way', u'flat']","[u'I', u'high', u'hope', u'place', u'sinc', u'burger', u'cook', u'charcoal', u'grill', u'unfortun', u'tast', u'fell', u'flat', u'way', u'flat']"
805,"[u'I', u'could', u'eat', u'their', u'bruschetta', u'all', u'day', u'it', u'is', u'devine']",1,"[u'I', u'could', u'eat', u'bruschetta', u'day', u'devine']","[u'I', u'could', u'eat', u'bruschetta', u'day', u'devine']","[u'I', u'could', u'eat', u'bruschetta', u'day', u'devin']"
806,"[u'Not', u'a', u'single', u'employee', u'came', u'out', u'to', u'see', u'if', u'we', u'were', u'OK', u'or', u'even', u'needed', u'a', u'water', u'refill', u'once', u'they', u'finally', u'served', u'us', u'our', u'food']",0,"[u'Not', u'single', u'employee', u'came', u'see', u'OK', u'even', u'needed', u'water', u'refill', u'finally', u'served', u'us', u'food']","[u'Not', u'single', u'employee', u'came', u'see', u'OK', u'even', u'needed', u'water', u'refill', u'finally', u'served', u'us', u'food']","[u'not', u'singl', u'employe', u'came', u'see', u'OK', u'even', u'need', u'water', u'refil', u'final', u'serv', u'us', u'food']"
807,"[u'Lastly', u'the', u'mozzarella', u'sticks', u'they', u'were', u'the', u'best', u'thing', u'we', u'ordered']",1,"[u'Lastly', u'mozzarella', u'sticks', u'best', u'thing', u'ordered']","[u'Lastly', u'mozzarella', u'sticks', u'best', u'thing', u'ordered']","[u'lastli', u'mozzarella', u'stick', u'best', u'thing', u'order']"
808,"[u'The', u'first', u'time', u'I', u'ever', u'came', u'here', u'I', u'had', u'an', u'amazing', u'experience', u'I', u'still', u'tell', u'people', u'how', u'awesome', u'the', u'duck', u'was']",1,"[u'The', u'first', u'time', u'I', u'ever', u'came', u'I', u'amazing', u'experience', u'I', u'still', u'tell', u'people', u'awesome', u'duck']","[u'The', u'first', u'time', u'I', u'ever', u'came', u'I', u'amazing', u'experience', u'I', u'still', u'tell', u'people', u'awesome', u'duck']","[u'the', u'first', u'time', u'I', u'ever', u'came', u'I', u'amaz', u'experi', u'I', u'still', u'tell', u'peopl', u'awesom', u'duck']"
809,"[u'The', u'server', u'was', u'very', u'negligent', u'of', u'our', u'needs', u'and', u'made', u'us', u'feel', u'very', u'unwelcome', u'I', u'would', u'not', u'suggest', u'this', u'place']",0,"[u'The', u'server', u'negligent', u'needs', u'made', u'us', u'feel', u'unwelcome', u'I', u'would', u'suggest', u'place']","[u'The', u'server', u'negligent', u'needs', u'made', u'us', u'feel', u'unwelcome', u'I', u'would', u'suggest', u'place']","[u'the', u'server', u'neglig', u'need', u'made', u'us', u'feel', u'unwelcom', u'I', u'would', u'suggest', u'place']"
810,"[u'The', u'service', u'was', u'terrible', u'though']",0,"[u'The', u'service', u'terrible', u'though']","[u'The', u'service', u'terrible', u'though']","[u'the', u'servic', u'terribl', u'though']"
811,"[u'This', u'place', u'is', u'overpriced', u'not', u'consistent', u'with', u'their', u'boba', u'and', u'it', u'really', u'is', u'OVERPRICED']",0,"[u'This', u'place', u'overpriced', u'consistent', u'boba', u'really', u'OVERPRICED']","[u'This', u'place', u'overpriced', u'consistent', u'boba', u'really', u'OVERPRICED']","[u'thi', u'place', u'overpr', u'consist', u'boba', u'realli', u'overpr']"
812,"[u'It', u'was', u'packed']",0,"[u'It', u'packed']","[u'It', u'packed']","[u'It', u'pack']"
813,"[u'I', u'love', u'this', u'place']",1,"[u'I', u'love', u'place']","[u'I', u'love', u'place']","[u'I', u'love', u'place']"
814,"[u'I', u'can', u'say', u'that', u'the', u'desserts', u'were', u'yummy']",1,"[u'I', u'say', u'desserts', u'yummy']","[u'I', u'say', u'desserts', u'yummy']","[u'I', u'say', u'dessert', u'yummi']"
815,"[u'The', u'food', u'was', u'terrible']",0,"[u'The', u'food', u'terrible']","[u'The', u'food', u'terrible']","[u'the', u'food', u'terribl']"
816,"[u'The', u'seasonal', u'fruit', u'was', u'fresh', u'white', u'peach', u'puree']",1,"[u'The', u'seasonal', u'fruit', u'fresh', u'white', u'peach', u'puree']","[u'The', u'seasonal', u'fruit', u'fresh', u'white', u'peach', u'puree']","[u'the', u'season', u'fruit', u'fresh', u'white', u'peach', u'pure']"
817,"[u'It', u'kept', u'getting', u'worse', u'and', u'worse', u'so', u'now', u'I', u'm', u'officially', u'done']",0,"[u'It', u'kept', u'getting', u'worse', u'worse', u'I', u'officially', u'done']","[u'It', u'kept', u'getting', u'worse', u'worse', u'I', u'officially', u'done']","[u'It', u'kept', u'get', u'wors', u'wors', u'I', u'offici', u'done']"
818,"[u'This', u'place', u'should', u'honestly', u'be', u'blown', u'up']",0,"[u'This', u'place', u'honestly', u'blown']","[u'This', u'place', u'honestly', u'blown']","[u'thi', u'place', u'honestli', u'blown']"
819,"[u'But', u'I', u'definitely', u'would', u'not', u'eat', u'here', u'again']",0,"[u'But', u'I', u'definitely', u'would', u'eat']","[u'But', u'I', u'definitely', u'would', u'eat']","[u'but', u'I', u'definit', u'would', u'eat']"
820,"[u'Do', u'not', u'waste', u'your', u'money', u'here']",0,"[u'Do', u'waste', u'money']","[u'Do', u'waste', u'money']","[u'Do', u'wast', u'money']"
821,"[u'I', u'love', u'that', u'they', u'put', u'their', u'food', u'in', u'nice', u'plastic', u'containers', u'as', u'opposed', u'to', u'cramming', u'it', u'in', u'little', u'paper', u'takeout', u'boxes']",1,"[u'I', u'love', u'put', u'food', u'nice', u'plastic', u'containers', u'opposed', u'cramming', u'little', u'paper', u'takeout', u'boxes']","[u'I', u'love', u'put', u'food', u'nice', u'plastic', u'containers', u'opposed', u'cramming', u'little', u'paper', u'takeout', u'boxes']","[u'I', u'love', u'put', u'food', u'nice', u'plastic', u'contain', u'oppos', u'cram', u'littl', u'paper', u'takeout', u'box']"
822,"[u'The', u'crpe', u'was', u'delicate', u'and', u'thin', u'and', u'moist']",1,"[u'The', u'crpe', u'delicate', u'thin', u'moist']","[u'The', u'crpe', u'delicate', u'thin', u'moist']","[u'the', u'crpe', u'delic', u'thin', u'moist']"
823,"[u'Awful', u'service']",0,"[u'Awful', u'service']","[u'Awful', u'service']","[u'aw', u'servic']"
824,"[u'Won', u't', u'ever', u'go', u'here', u'again']",0,"[u'Won', u'ever', u'go']","[u'Won', u'ever', u'go']","[u'won', u'ever', u'go']"
825,"[u'Food', u'quality', u'has', u'been', u'horrible']",0,"[u'Food', u'quality', u'horrible']","[u'Food', u'quality', u'horrible']","[u'food', u'qualiti', u'horribl']"
826,"[u'For', u'that', u'price', u'I', u'can', u'think', u'of', u'a', u'few', u'place', u'I', u'would', u'have', u'much', u'rather', u'gone']",0,"[u'For', u'price', u'I', u'think', u'place', u'I', u'would', u'much', u'rather', u'gone']","[u'For', u'price', u'I', u'think', u'place', u'I', u'would', u'much', u'rather', u'gone']","[u'for', u'price', u'I', u'think', u'place', u'I', u'would', u'much', u'rather', u'gone']"
827,"[u'The', u'service', u'here', u'is', u'fair', u'at', u'best']",0,"[u'The', u'service', u'fair', u'best']","[u'The', u'service', u'fair', u'best']","[u'the', u'servic', u'fair', u'best']"
828,"[u'I', u'do', u'love', u'sushi', u'but', u'I', u'found', u'Kabuki', u'to', u'be', u'over', u'priced', u'over', u'hip', u'and', u'under', u'services']",0,"[u'I', u'love', u'sushi', u'I', u'found', u'Kabuki', u'priced', u'hip', u'services']","[u'I', u'love', u'sushi', u'I', u'found', u'Kabuki', u'priced', u'hip', u'services']","[u'I', u'love', u'sushi', u'I', u'found', u'kabuki', u'price', u'hip', u'servic']"
829,"[u'Do', u'yourself', u'a', u'favor', u'and', u'stay', u'away', u'from', u'this', u'dish']",0,"[u'Do', u'favor', u'stay', u'away', u'dish']","[u'Do', u'favor', u'stay', u'away', u'dish']","[u'Do', u'favor', u'stay', u'away', u'dish']"
830,"[u'Very', u'poor', u'service']",0,"[u'Very', u'poor', u'service']","[u'Very', u'poor', u'service']","[u'veri', u'poor', u'servic']"
831,"[u'No', u'one', u'at', u'the', u'table', u'thought', u'the', u'food', u'was', u'above', u'average', u'or', u'worth', u'the', u'wait', u'that', u'we', u'had', u'for', u'it']",0,"[u'No', u'one', u'table', u'thought', u'food', u'average', u'worth', u'wait']","[u'No', u'one', u'table', u'thought', u'food', u'average', u'worth', u'wait']","[u'No', u'one', u'tabl', u'thought', u'food', u'averag', u'worth', u'wait']"
832,"[u'Best', u'service', u'and', u'food', u'ever', u'Maria', u'our', u'server', u'was', u'so', u'good', u'and', u'friendly', u'she', u'made', u'our', u'day']",1,"[u'Best', u'service', u'food', u'ever', u'Maria', u'server', u'good', u'friendly', u'made', u'day']","[u'Best', u'service', u'food', u'ever', u'Maria', u'server', u'good', u'friendly', u'made', u'day']","[u'best', u'servic', u'food', u'ever', u'maria', u'server', u'good', u'friendli', u'made', u'day']"
833,"[u'They', u'were', u'excellent']",1,"[u'They', u'excellent']","[u'They', u'excellent']","[u'they', u'excel']"
834,"[u'I', u'paid', u'the', u'bill', u'but', u'did', u'not', u'tip', u'because', u'I', u'felt', u'the', u'server', u'did', u'a', u'terrible', u'job']",0,"[u'I', u'paid', u'bill', u'tip', u'I', u'felt', u'server', u'terrible', u'job']","[u'I', u'paid', u'bill', u'tip', u'I', u'felt', u'server', u'terrible', u'job']","[u'I', u'paid', u'bill', u'tip', u'I', u'felt', u'server', u'terribl', u'job']"
835,"[u'Just', u'had', u'lunch', u'here', u'and', u'had', u'a', u'great', u'experience']",1,"[u'Just', u'lunch', u'great', u'experience']","[u'Just', u'lunch', u'great', u'experience']","[u'just', u'lunch', u'great', u'experi']"
836,"[u'I', u'have', u'never', u'had', u'such', u'bland', u'food', u'which', u'surprised', u'me', u'considering', u'the', u'article', u'we', u'read', u'focused', u'so', u'much', u'on', u'their', u'spices', u'and', u'flavor']",0,"[u'I', u'never', u'bland', u'food', u'surprised', u'considering', u'article', u'read', u'focused', u'much', u'spices', u'flavor']","[u'I', u'never', u'bland', u'food', u'surprised', u'considering', u'article', u'read', u'focused', u'much', u'spices', u'flavor']","[u'I', u'never', u'bland', u'food', u'surpris', u'consid', u'articl', u'read', u'focus', u'much', u'spice', u'flavor']"
837,"[u'Food', u'is', u'way', u'overpriced', u'and', u'portions', u'are', u'fucking', u'small']",0,"[u'Food', u'way', u'overpriced', u'portions', u'fucking', u'small']","[u'Food', u'way', u'overpriced', u'portions', u'fucking', u'small']","[u'food', u'way', u'overpr', u'portion', u'fuck', u'small']"
838,"[u'I', u'recently', u'tried', u'Caballero', u's', u'and', u'I', u'have', u'been', u'back', u'every', u'week', u'since']",1,"[u'I', u'recently', u'tried', u'Caballero', u'I', u'back', u'every', u'week', u'since']","[u'I', u'recently', u'tried', u'Caballero', u'I', u'back', u'every', u'week', u'since']","[u'I', u'recent', u'tri', u'caballero', u'I', u'back', u'everi', u'week', u'sinc']"
839,"[u'for', u'40', u'bucks', u'a', u'head', u'i', u'really', u'expect', u'better', u'food']",0,"[u'40', u'bucks', u'head', u'really', u'expect', u'better', u'food']","[u'40', u'bucks', u'head', u'really', u'expect', u'better', u'food']","[u'40', u'buck', u'head', u'realli', u'expect', u'better', u'food']"
840,"[u'The', u'food', u'came', u'out', u'at', u'a', u'good', u'pace']",1,"[u'The', u'food', u'came', u'good', u'pace']","[u'The', u'food', u'came', u'good', u'pace']","[u'the', u'food', u'came', u'good', u'pace']"
841,"[u'I', u'ate', u'there', u'twice', u'on', u'my', u'last', u'visit', u'and', u'especially', u'enjoyed', u'the', u'salmon', u'salad']",1,"[u'I', u'ate', u'twice', u'last', u'visit', u'especially', u'enjoyed', u'salmon', u'salad']","[u'I', u'ate', u'twice', u'last', u'visit', u'especially', u'enjoyed', u'salmon', u'salad']","[u'I', u'ate', u'twice', u'last', u'visit', u'especi', u'enjoy', u'salmon', u'salad']"
842,"[u'I', u'won', u't', u'be', u'back']",0,"[u'I', u'back']","[u'I', u'back']","[u'I', u'back']"
843,"[u'We', u'could', u'not', u'believe', u'how', u'dirty', u'the', u'oysters', u'were']",0,"[u'We', u'could', u'believe', u'dirty', u'oysters']","[u'We', u'could', u'believe', u'dirty', u'oysters']","[u'We', u'could', u'believ', u'dirti', u'oyster']"
844,"[u'This', u'place', u'deserves', u'no', u'stars']",0,"[u'This', u'place', u'deserves', u'stars']","[u'This', u'place', u'deserves', u'stars']","[u'thi', u'place', u'deserv', u'star']"
845,"[u'I', u'would', u'not', u'recommend', u'this', u'place']",0,"[u'I', u'would', u'recommend', u'place']","[u'I', u'would', u'recommend', u'place']","[u'I', u'would', u'recommend', u'place']"
846,"[u'In', u'fact', u'I', u'm', u'going', u'to', u'round', u'up', u'to', u'4', u'stars', u'just', u'because', u'she', u'was', u'so', u'awesome']",1,"[u'In', u'fact', u'I', u'going', u'round', u'4', u'stars', u'awesome']","[u'In', u'fact', u'I', u'going', u'round', u'4', u'stars', u'awesome']","[u'In', u'fact', u'I', u'go', u'round', u'4', u'star', u'awesom']"
847,"[u'To', u'my', u'disbelief', u'each', u'dish', u'qualified', u'as', u'the', u'worst', u'version', u'of', u'these', u'foods', u'I', u'have', u'ever', u'tasted']",0,"[u'To', u'disbelief', u'dish', u'qualified', u'worst', u'version', u'foods', u'I', u'ever', u'tasted']","[u'To', u'disbelief', u'dish', u'qualified', u'worst', u'version', u'foods', u'I', u'ever', u'tasted']","[u'To', u'disbelief', u'dish', u'qualifi', u'worst', u'version', u'food', u'I', u'ever', u'tast']"
848,"[u'Bad', u'day', u'or', u'not', u'I', u'have', u'a', u'very', u'low', u'tolerance', u'for', u'rude', u'customer', u'service', u'people', u'it', u'is', u'your', u'job', u'to', u'be', u'nice', u'and', u'polite', u'wash', u'dishes', u'otherwise']",0,"[u'Bad', u'day', u'I', u'low', u'tolerance', u'rude', u'customer', u'service', u'people', u'job', u'nice', u'polite', u'wash', u'dishes', u'otherwise']","[u'Bad', u'day', u'I', u'low', u'tolerance', u'rude', u'customer', u'service', u'people', u'job', u'nice', u'polite', u'wash', u'dishes', u'otherwise']","[u'bad', u'day', u'I', u'low', u'toler', u'rude', u'custom', u'servic', u'peopl', u'job', u'nice', u'polit', u'wash', u'dish', u'otherwis']"
849,"[u'the', u'potatoes', u'were', u'great', u'and', u'so', u'was', u'the', u'biscuit']",1,"[u'potatoes', u'great', u'biscuit']","[u'potatoes', u'great', u'biscuit']","[u'potato', u'great', u'biscuit']"
850,"[u'I', u'probably', u'would', u'not', u'go', u'here', u'again']",0,"[u'I', u'probably', u'would', u'go']","[u'I', u'probably', u'would', u'go']","[u'I', u'probabl', u'would', u'go']"
851,"[u'So', u'flavorful', u'and', u'has', u'just', u'the', u'perfect', u'amount', u'of', u'heat']",1,"[u'So', u'flavorful', u'perfect', u'amount', u'heat']","[u'So', u'flavorful', u'perfect', u'amount', u'heat']","[u'So', u'flavor', u'perfect', u'amount', u'heat']"
852,"[u'The', u'price', u'is', u'reasonable', u'and', u'the', u'service', u'is', u'great']",1,"[u'The', u'price', u'reasonable', u'service', u'great']","[u'The', u'price', u'reasonable', u'service', u'great']","[u'the', u'price', u'reason', u'servic', u'great']"
853,"[u'The', u'Wife', u'hated', u'her', u'meal', u'coconut', u'shrimp', u'and', u'our', u'friends', u'really', u'did', u'not', u'enjoy', u'their', u'meals', u'either']",0,"[u'The', u'Wife', u'hated', u'meal', u'coconut', u'shrimp', u'friends', u'really', u'enjoy', u'meals', u'either']","[u'The', u'Wife', u'hated', u'meal', u'coconut', u'shrimp', u'friends', u'really', u'enjoy', u'meals', u'either']","[u'the', u'wife', u'hate', u'meal', u'coconut', u'shrimp', u'friend', u'realli', u'enjoy', u'meal', u'either']"
854,"[u'My', u'fella', u'got', u'the', u'huevos', u'rancheros', u'and', u'they', u'didn', u't', u'look', u'too', u'appealing']",0,"[u'My', u'fella', u'got', u'huevos', u'rancheros', u'look', u'appealing']","[u'My', u'fella', u'got', u'huevos', u'rancheros', u'look', u'appealing']","[u'My', u'fella', u'got', u'huevo', u'ranchero', u'look', u'appeal']"
855,"[u'Went', u'in', u'for', u'happy', u'hour', u'great', u'list', u'of', u'wines']",1,"[u'Went', u'happy', u'hour', u'great', u'list', u'wines']","[u'Went', u'happy', u'hour', u'great', u'list', u'wines']","[u'went', u'happi', u'hour', u'great', u'list', u'wine']"
856,"[u'Some', u'may', u'say', u'this', u'buffet', u'is', u'pricey', u'but', u'I', u'think', u'you', u'get', u'what', u'you', u'pay', u'for', u'and', u'this', u'place', u'you', u'are', u'getting', u'quite', u'a', u'lot']",1,"[u'Some', u'may', u'say', u'buffet', u'pricey', u'I', u'think', u'get', u'pay', u'place', u'getting', u'quite', u'lot']","[u'Some', u'may', u'say', u'buffet', u'pricey', u'I', u'think', u'get', u'pay', u'place', u'getting', u'quite', u'lot']","[u'some', u'may', u'say', u'buffet', u'pricey', u'I', u'think', u'get', u'pay', u'place', u'get', u'quit', u'lot']"
857,"[u'I', u'probably', u'won', u't', u'be', u'coming', u'back', u'here']",0,"[u'I', u'probably', u'coming', u'back']","[u'I', u'probably', u'coming', u'back']","[u'I', u'probabl', u'come', u'back']"
858,"[u'Worst', u'food', u'service', u'I', u've', u'had', u'in', u'a', u'while']",0,"[u'Worst', u'food', u'service', u'I']","[u'Worst', u'food', u'service', u'I']","[u'worst', u'food', u'servic', u'I']"
859,"[u'This', u'place', u'is', u'pretty', u'good', u'nice', u'little', u'vibe', u'in', u'the', u'restaurant']",1,"[u'This', u'place', u'pretty', u'good', u'nice', u'little', u'vibe', u'restaurant']","[u'This', u'place', u'pretty', u'good', u'nice', u'little', u'vibe', u'restaurant']","[u'thi', u'place', u'pretti', u'good', u'nice', u'littl', u'vibe', u'restaur']"
860,"[u'Talk', u'about', u'great', u'customer', u'service', u'of', u'course', u'we', u'will', u'be', u'back']",1,"[u'Talk', u'great', u'customer', u'service', u'course', u'back']","[u'Talk', u'great', u'customer', u'service', u'course', u'back']","[u'talk', u'great', u'custom', u'servic', u'cours', u'back']"
861,"[u'Hot', u'dishes', u'are', u'not', u'hot', u'cold', u'dishes', u'are', u'close', u'to', u'room', u'temp', u'I', u'watched', u'staff', u'prepare', u'food', u'with', u'BARE', u'HANDS', u'no', u'gloves', u'Everything', u'is', u'deep', u'fried', u'in', u'oil']",0,"[u'Hot', u'dishes', u'hot', u'cold', u'dishes', u'close', u'room', u'temp', u'I', u'watched', u'staff', u'prepare', u'food', u'BARE', u'HANDS', u'gloves', u'Everything', u'deep', u'fried', u'oil']","[u'Hot', u'dishes', u'hot', u'cold', u'dishes', u'close', u'room', u'temp', u'I', u'watched', u'staff', u'prepare', u'food', u'BARE', u'HANDS', u'gloves', u'Everything', u'deep', u'fried', u'oil']","[u'hot', u'dish', u'hot', u'cold', u'dish', u'close', u'room', u'temp', u'I', u'watch', u'staff', u'prepar', u'food', u'bare', u'hand', u'glove', u'everyth', u'deep', u'fri', u'oil']"
862,"[u'I', u'love', u'their', u'fries', u'and', u'their', u'beans']",1,"[u'I', u'love', u'fries', u'beans']","[u'I', u'love', u'fries', u'beans']","[u'I', u'love', u'fri', u'bean']"
863,"[u'Always', u'a', u'pleasure', u'dealing', u'with', u'him']",1,"[u'Always', u'pleasure', u'dealing']","[u'Always', u'pleasure', u'dealing']","[u'alway', u'pleasur', u'deal']"
864,"[u'They', u'have', u'a', u'plethora', u'of', u'salads', u'and', u'sandwiches', u'and', u'everything', u'I', u've', u'tried', u'gets', u'my', u'seal', u'of', u'approval']",1,"[u'They', u'plethora', u'salads', u'sandwiches', u'everything', u'I', u'tried', u'gets', u'seal', u'approval']","[u'They', u'plethora', u'salads', u'sandwiches', u'everything', u'I', u'tried', u'gets', u'seal', u'approval']","[u'they', u'plethora', u'salad', u'sandwich', u'everyth', u'I', u'tri', u'get', u'seal', u'approv']"
865,"[u'This', u'place', u'is', u'awesome', u'if', u'you', u'want', u'something', u'light', u'and', u'healthy', u'during', u'the', u'summer']",1,"[u'This', u'place', u'awesome', u'want', u'something', u'light', u'healthy', u'summer']","[u'This', u'place', u'awesome', u'want', u'something', u'light', u'healthy', u'summer']","[u'thi', u'place', u'awesom', u'want', u'someth', u'light', u'healthi', u'summer']"
866,"[u'For', u'sushi', u'on', u'the', u'Strip', u'this', u'is', u'the', u'place', u'to', u'go']",1,"[u'For', u'sushi', u'Strip', u'place', u'go']","[u'For', u'sushi', u'Strip', u'place', u'go']","[u'for', u'sushi', u'strip', u'place', u'go']"
867,"[u'The', u'service', u'was', u'great', u'even', u'the', u'manager', u'came', u'and', u'helped', u'with', u'our', u'table']",1,"[u'The', u'service', u'great', u'even', u'manager', u'came', u'helped', u'table']","[u'The', u'service', u'great', u'even', u'manager', u'came', u'helped', u'table']","[u'the', u'servic', u'great', u'even', u'manag', u'came', u'help', u'tabl']"
868,"[u'The', u'feel', u'of', u'the', u'dining', u'room', u'was', u'more', u'college', u'cooking', u'course', u'than', u'high', u'class', u'dining', u'and', u'the', u'service', u'was', u'slow', u'at', u'best']",0,"[u'The', u'feel', u'dining', u'room', u'college', u'cooking', u'course', u'high', u'class', u'dining', u'service', u'slow', u'best']","[u'The', u'feel', u'dining', u'room', u'college', u'cooking', u'course', u'high', u'class', u'dining', u'service', u'slow', u'best']","[u'the', u'feel', u'dine', u'room', u'colleg', u'cook', u'cours', u'high', u'class', u'dine', u'servic', u'slow', u'best']"
